ID,TITLE,BRANCH,CREATED AT
#63,Schreibfehler,kahagm:patch-17,about 11 days ago
#62,Schreibfehler,kahagm:patch-16,about 11 days ago
#61,Update Statistik_6.qmd,Jaeggmanu:patch-11,about 13 days ago
#60,Update Statistik_6.qmd,Jaeggmanu:patch-10,about 13 days ago
#59,Update Statistik_6.qmd,panepanepane:patch-12,about 13 days ago
#57,Schreibfehler,kahagm:patch-15,about 16 days ago
#56,Leerschlag eingefügt,kahagm:patch-14,about 16 days ago
#55,doppeltes wort entfernt,kahagm:patch-13,about 16 days ago
#54,doppeltes Wort entfernt,kahagm:patch-12,about 18 days ago
#53,Schreibfehler,kahagm:patch-10,about 18 days ago
#52,"fehlendes ""d""",kahagm:patch-9,about 18 days ago
#51,Schreibfehler verbessert,kahagm:patch-8,about 18 days ago
#50,Update Statistik_3.qmd,Jaeggmanu:patch-9,about 18 days ago
#49,Komma am falschen Ort,kahagm:patch-7,about 19 days ago
#48,Leerschlag eingefügt,kahagm:patch-6,about 19 days ago
#47,Update Statistik_7.qmd,ratnanil-patch-1,about 19 days ago
#43,Update Statistik_4.qmd,Jaeggmanu:patch-8,about 19 days ago
#42,Satz war unvollständig,kahagm:patch-5,about 19 days ago
#41,Update Statistik_4.qmd,Jaeggmanu:patch-7,about 20 days ago
#40,Update Statistik_4.qmd,Jaeggmanu:patch-6,about 20 days ago
#39,Update Statistik_4.qmd,Jaeggmanu:patch-5,about 20 days ago
#38,Update Statistik_3.qmd,Jaeggmanu:patch-4,about 20 days ago
#37,Update Statistik_4.qmd,Jaeggmanu:patch-3,about 20 days ago
#34,Update Statistik_3.qmd,panepanepane:patch-11,about 22 days ago
#33,Update Statistik_3.qmd,panepanepane:patch-10,about 22 days ago
#32,Update Statistik_3.qmd,panepanepane:patch-9,about 22 days ago
#31,Update Statistik_2.qmd,panepanepane:patch-7,about 22 days ago
#30,Update Statistik_2.qmd,panepanepane:patch-6,about 22 days ago
#29,Update Statistik_2.qmd,panepanepane:patch-5,about 22 days ago
#28,Update Statistik_2.qmd,panepanepane:patch-8,about 22 days ago
#27,Update Statistik_2.qmd,Sarah-S-00:patch-3,about 23 days ago
#26,Update Statistik_2.qmd,Sarah-S-00:patch-2,about 23 days ago
#25,Rechtschreibung,kahagm:patch-4,about 23 days ago
#24,"""e"" eingefügt",kahagm:patch-3,about 23 days ago
#23,Verständlichkeit verbessert,kahagm:patch-2,about 23 days ago
#22,"fehlendes ""o"" eingefügt",kahagm:patch-1,about 23 days ago
#20,Update Statistik_1.qmd,Jaeggmanu:patch-1,about 23 days ago
